Variable 03,Variable 04,Variable 05,Variable 06,Variable 07,Variable 08,Variable 09,Variable 10,Variable 11,Variable 12,Variable 13,Variable 14,Variable 15,Variable 16,Variable 17,Variable 18,Variable 19,Variable 20,Variable 21,Variable 22,Variable 23,Variable 24,Variable 25,Variable 26,Variable 27,Variable 28,Variable 29,Variable 30,Variable 31,Variable 32,Variable 33,Variable 34,Variable 35,Variable 36,Variable 37,Variable 38,Variable 39,Variable 40,Variable 41,Variable 42,Variable 43,Variable 44,Variable 45,Variable 46,Variable 47,Variable 48,Variable 49,Variable 50,Variable 51,Variable 52,Variable 53,Variable 54,Variable 55,Variable 56,Variable 57,Variable 58,Variable 59,Variable 60,Variable 61,Variable 62,Variable 63,Variable 64,Variable 65,Variable 66,Variable 67,Variable 68,Variable 69,Variable 70,Variable 71,Variable 72,Variable 73,Variable 74,Variable 75,Variable 76,Variable 77,Variable 78,Variable 79,Variable 80,Variable 81,Variable 82,Variable 83,Variable 84,Variable 85,Variable 86,Variable 87,Variable 88,Variable 89,Variable 90,Variable 93,Variable 94,Variable 95,Variable 97,Variable 98,Variable 99,Variable 100,Variable 01_DERECHA,Variable 01_IZQUIERDA,Variable 91_A,Variable 91_B,Variable 91_N,Variable 92_0,Variable 92_A,Variable 92_B,Variable 92_N,Variable 96_AZ,Variable 96_BR,Variable 96_CI,Variable 96_PR,Variable 101_AZ,Variable 101_BR,Variable 101_CI,Variable 101_PR,Variable de Salida
0.21540656205420827,0.6000000000000001,0.3666666666666667,0.2497502497502498,0.1723545941782496,0.9108526778739271,0.9935785172212492,0.9912785685721346,0.9907353792704112,0.7608695652173912,0.76,0.7681159420289855,0.9704215877645318,0.9666291013444892,0.960820895522388,0.9836363636363638,0.9835311275910495,0.9818840579710144,0.9090909090909092,0.9117647058823529,0.9101796407185628,0.9806451612903225,0.9806451612903225,0.9806451612903225,0.9625468164794008,0.9658531455060895,0.9672839506172838,0.9728395061728394,0.9845239216045115,0.9938650306748467,0.6082474226804123,0.89,0.7711864406779663,0.9806451612903225,0.9806451612903225,0.9806451612903225,0.922425952045134,0.9105591903244462,0.8999313982226596,0.9730813860252006,0.9661156477819667,0.9615819209039548,1.0,1.0,1.0,1.0,1.0,1.0,0.8457087827527106,0.8470928253423442,0.8479307025986524,0.98,1.0,0.9933333333333332,0.7821212121212122,0.8819454115025759,0.7304232804232804,0.0430930413588571,0.8857142857142861,0.8483146067415728,0.7692307692307692,0.14083575804390608,0.18666666666666698,0.1957104235637428,0.20779220779220786,0.16035674514745463,0.20000000000000018,0.21145374449339283,0.20000000000000018,0.0921095157729515,0.890295358649789,0.8892617375061935,0.8699186991869918,0.2175801356615549,0.7209302325581395,0.7253456221198157,0.7297297297297298,0.42523816215625626,0.3636366666666673,0.3790323387096777,0.4666666666666659,0.04222003309207486,0.29761904761904745,0.18985637342908457,0.168831168831169,0.8660254037844386,0.19999999999999973,0.3666666666666667,0.24934793948878387,0.39340101522842635,0.09090909090909091,0.25,0.012998655311519499,0.09833288518418931,0.009954751131221719,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
0.28530670470756064,0.6000000000000001,0.26666666666666666,0.27472527472527475,0.9703205361098806,0.9728681793461945,0.99241097489784,0.9904645677628665,0.9878401852924147,0.5652173913043478,0.58,0.5693581780538303,0.9893013851918574,0.9844102118155496,0.9788557835820895,0.9854545454545455,0.9892225782365878,0.9897343599033817,0.9393939393939394,0.9705882352941176,0.967065868263473,1.0,1.0,1.0,0.9700375156054932,0.9666822350897802,0.9604938271604937,0.9833333333333334,0.9817566878803587,0.9822085889570552,1.0,0.97,0.9864406779661019,1.0,1.0,1.0,0.9294781382228491,0.9162903606707065,0.9047292046107468,0.9587629438717069,0.9534196670434067,0.9491525423728814,1.0,1.0,1.0,0.9925925925925926,0.9925925925925926,0.9925925925925926,0.9054965812200299,0.9049148440438534,0.9037536092396535,0.25,0.25,0.25,0.8184848484848486,0.8599467731204254,0.6828042328042327,0.146135359087639,0.8000002857142867,0.8033708426966282,0.7692307692307692,0.1393609529485771,0.8933334666666668,0.9088472111853028,0.8831170129870132,0.13093073414159542,0.3333333333333339,0.37004405286343633,0.3333333333333339,0.05317945372643959,0.970464135021097,0.9689597234147675,0.9430894308943089,0.11944543278785542,0.9767441860465116,0.9778801935483872,0.963963963963964,0.49836333439760133,0.7272727272727275,0.854838709677419,0.8999999999999995,0.17149858514250887,0.9285714285714282,0.9236983842010769,0.9090909090909092,0.19194297398747862,0.033333333333333215,0.03333333333333366,0.570683359415753,0.030456852791878167,0.15584415584415584,0.125,0.015688032272523533,0.1900242000537779,0.006787330316742078,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
0.14265335235378035,0.8,0.4,0.2497502497502498,0.9834102529997981,0.9767441481882111,0.99241097489784,0.9906389906934182,0.988419224088014,0.5434782608695652,0.56,0.5527950310559006,0.9937067341908915,0.9911094478949481,0.9856965174129353,0.9975757575757576,0.9983652216230902,0.9969806763285024,0.7575757575757576,0.8823529411764706,0.8083832335329342,1.0,1.0,1.0,0.986267166042447,0.9834706385035188,0.9765432098765431,1.0,0.998052669917953,0.9969325153374233,0.7216494845360825,0.74,0.7271186440677968,1.0,1.0,1.0,0.9562764456981663,0.9464397309329722,0.9362576465896061,0.9862542955326461,0.9825039654054996,0.9796610734463277,0.37,0.74,0.474,0.9925925925925926,0.9925925925925926,0.9925925925925926,0.9064609013278253,0.9058785446232398,0.9047160731472569,0.25,0.25,0.25,0.8184848484848486,0.750499001996008,0.7304232804232804,0.0481794849178073,0.8571428571428577,0.8216292134831447,0.7435897435897445,0.06154574548966634,0.9199999999999999,0.9148793291881989,0.8701298701298699,0.1690308509457033,0.3333333333333339,0.3502202643171808,0.3333333333333339,0.06726727939963119,0.970464135021097,0.9706375757496849,0.9430894308943089,0.23752949164998846,0.9767441860465116,0.9778801935483872,0.9774774774774776,0.0885614885540095,0.8787878787878798,0.8677419354838705,0.8666666666666671,0.12016045422461269,0.9285714285714282,0.9210054129263907,0.8961038961038961,0.12565617248750863,0.06666666666666643,0.03333333333333366,0.5774647887323945,0.053299492385786795,0.27272727272727276,0.1875,0.014791573285522188,0.19029308954019897,0.006334841628959274,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
0.07132667617689016,0.6000000000000001,0.3,0.2497502497502498,0.04436641355848758,0.9186046155579605,0.9889084063047286,0.9923833013990155,0.9924725535610888,0.8043478260869565,0.88,0.8178053830227743,0.9729388940881752,0.9690082711118424,0.9633085199004975,0.9733333333333333,0.9767498246942381,0.9782608695652174,0.2727272727272727,0.6470588235294118,0.38922155688622756,0.9806451612903225,0.9806451612903225,0.9806451612903225,0.9681647940074907,0.9689621252218084,0.9660493827160493,0.9623457407407408,0.9652557043096093,0.9699386503067484,0.6082474226804123,0.76,0.6796610169491527,0.9806451612903225,0.9806451612903225,0.9806451612903225,0.9372356135401975,0.926710648603312,0.917066421037257,0.9851088201603666,0.9776187008039376,0.9728813559322034,1.0,1.0,1.0,1.0,1.0,1.0,0.8736740176627763,0.8734339745122398,0.872954812319538,0.85,0.85,0.85,0.7818181818181817,0.8639465255535438,0.6507936507936507,0.04309261042844351,0.8000002857142867,0.764045168539325,0.6923076923076925,0.07329333682691178,0.08000000000000007,0.07238605276398147,0.06493506493506485,0.16035674514745463,0.13333333333333375,0.1585903083700444,0.13333333333333375,0.05317971962410705,0.8481012658227849,0.8473154375225216,0.8252032926829269,0.03601412030328091,0.6837209302325581,0.6811059907834102,0.6666666666666667,0.3542459542160382,0.2424242424242422,0.26129032258064466,0.33333333333333304,0.0611829027890132,0.17857142857142838,0.05924598743267495,0.05194818181818173,0.12565617248750863,0.1333333333333333,0.10000000000000009,0.4188836724047986,0.015228426395939083,0.07792207792207792,0.125,0.011653966831017482,0.11529981177735951,0.0013574660633484184,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
0.14265335235378035,0.6000000000000001,0.2833333333333333,0.2997002997002997,0.2784633968766057,0.9573643039781276,0.9883245767659078,0.9865795681290269,0.9843659525188189,0.8260869565217391,0.84,0.8225108225108225,0.99118936493459,0.9869145881929052,0.9807213930348258,0.993333393939394,0.9932186971031884,0.9915458937198067,0.9090909090909092,0.9117647058823529,0.9131736526946108,1.0,1.0,1.0,0.9762797128589265,0.9744398316481101,0.9679012345679012,0.9925925925925926,0.9893556598910979,0.9871166257668712,0.845360824742268,0.86,0.8455205811138017,1.0,1.0,1.0,0.9400564174894217,0.9267106312361713,0.9163810201246729,0.9776632302405498,0.9699499893217453,0.9649717514124294,1.0,1.0,1.0,0.9925925925925926,0.9925925925925926,0.9925925925925926,0.9016393007888476,0.9017828171608475,0.900866217516843,0.4,0.41000000000000003,0.4025,0.8545454545454545,0.9431137724550899,0.7142857142857142,0.10986629842038899,0.31428571428571495,0.32584280898876283,0.3076923076923075,0.02874797872880338,0.3333333333333335,0.3109919256768894,0.2857142857142856,0.16035674514745463,0.666666666666667,0.6872246696035242,0.666666666666667,0.32172483043123473,0.8987342194092828,0.9035235075207759,0.906504105691057,0.044108109139123074,0.7627906976744185,0.7576036866359448,0.7432432432432433,0.0,0.33333333333333304,0.2741935483870961,0.2333333333333325,0.04005344023759145,0.3928571428571428,0.29622980251346465,0.27272727272727293,0.0,0.2999999999999998,0.2333333333333334,0.0777256129368804,0.06852791878172589,0.1168831168831169,0.25,0.017929179740026894,0.1876310836246303,0.010859728506787333,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
0.35663338088445085,0.6000000000000001,0.2,0.27472527472527475,0.12176644107668988,0.9224806231596657,0.989492119089317,0.9870341357809514,0.9849449913144182,0.8913043478260869,0.88,0.8799171842650103,0.9943359978391443,0.9899824569248379,0.9838308457711441,0.9975757575757576,0.9969726205258825,0.995169082125604,0.8181818181818182,0.8235294117647058,0.8293413173652694,1.0,1.0,1.0,0.9787765293383273,0.9755057728803038,0.9703703703703702,0.9919753086419751,0.9891799091516441,0.9889570552147239,0.7938144329896907,0.81,0.8135593220338986,1.0,1.0,1.0,0.9400564174894217,0.927578988274436,0.917066421037257,0.9759450744558993,0.9692399518463996,0.9661016949152542,1.0,1.0,1.0,0.9925925925925926,0.9925925925925926,0.9925925925925926,0.9035679892204441,0.9037102303658776,0.90279114533205,0.43,0.44,0.435,0.8363636363636363,0.8749023691746938,0.6825396825396826,0.0430930413588571,0.31428571428571495,0.28651685393258397,0.2564102564102564,0.057496280872535985,0.1466666666666665,0.13941023551883536,0.1168832467532468,0.13093073414159542,0.5333333333333332,0.5682819383259909,0.5333333333333341,0.04119262772858172,0.8860759493670886,0.8833892543339827,0.8577235772357724,0.03601376016207788,0.7162791162790697,0.7105991152073733,0.6981981981981983,0.13527990831890452,0.2424242424242422,0.21612903225806424,0.20000000000000018,0.06118272798240513,0.25,0.14003596050269285,0.1298701298701297,0.12565617248750863,0.16666666666666652,0.1333333333333333,0.3698487219613966,0.06852791878172589,0.33766233766233766,0.125,0.010757507844016138,0.08168862597472439,0.002262443438914026,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1
0.14265335235378035,0.65,0.1,0.2497502497502498,0.3517345296284953,0.9302325220840106,0.9900758902510216,0.9884877144689359,0.9866821656050957,0.5652173913043478,0.6,0.5859213250517599,0.9886720586109465,0.984097157724804,0.9782338308457711,0.9884848484848484,0.9900096816419268,0.9891304347826088,0.9393939393939394,0.9411764705882353,0.9401197604790419,1.0,1.0,1.0,0.968789013732834,0.9664749704662805,0.9604938271604937,0.9820987654320987,0.9827815828065677,0.9846625766871165,0.8762886597938144,0.88,0.8796610169491528,1.0,1.0,1.0,0.9287729196050775,0.9161514096508715,0.9054146055233306,0.9484536082474228,0.9450124870481144,0.9446327683615818,1.0,1.0,1.0,0.9925925925925926,0.9925925925925926,0.9925925925925926,0.9064609013278253,0.9058785446232398,0.9047160731472569,0.3,0.3,0.3,0.836060606060606,0.9253775058578495,0.6825396825396826,0.1668990487668949,0.5428571428571427,0.5337079213483138,0.5384617948717958,0.035208587421581394,0.3600001333333336,0.34316356128125713,0.31168831168831135,0.0,0.9333333333333336,0.9118942731277535,0.8666666666666671,0.037603552349761676,0.9324894514767933,0.9301593881698039,0.9024390243902438,0.0,0.7813953953488373,0.7741935944700462,0.7567568018018019,0.1616912251436457,0.30303030303030365,0.27419365591397593,0.266667,0.04221961089174393,0.4285715476190479,0.3402154847396768,0.31168831168831135,0.13245323570650436,0.6999999999999997,0.666666666666667,0.9274908711528425,0.8629441624365483,0.012987012987012988,0.3125,0.0891976692066338,0.06528636730303845,0.08280542986425339,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
0.2139800285306705,0.6000000000000001,0.4,0.19880119880119884,0.9045525195058399,0.9922480235562781,0.9900758902510216,0.9890110007034653,0.9878401852924147,0.5217391304347826,0.58,0.5403726708074534,0.994965324420055,0.9907963938042025,0.9850746890547263,0.9975757575757576,0.9976992068576023,0.9957730072463769,0.8181818181818182,0.8529411764705882,0.8323353293413174,1.0,1.0,1.0,0.9800249687890138,0.9770454455382755,0.971605,0.9938271604938271,0.9916982680803881,0.990184110429448,0.7628865979381443,0.78,0.7796610169491528,1.0,1.0,1.0,0.9520451339915373,0.9415769037312641,0.930774439288935,0.9816724513172969,0.9784139973093843,0.9757062146892654,0.6900000000000001,0.8300000000000001,0.736,0.9925925925925926,0.9925925925925926,0.9925925925925926,0.9054965812200299,0.9051557691886999,0.9047160731472569,0.24,0.25,0.245,0.8184848484848486,0.9162341982701261,0.7142857142857142,0.05563287717342704,0.6857142857142859,0.6647940074906362,0.5897435897435903,0.24336914337080875,0.8933334666666668,0.9070598921384709,0.9090909090909092,0.1690308509457033,0.6000000000000005,0.6035242290748899,0.6000000000000005,0.06292313777250785,0.9535864978902954,0.953020143011576,0.9268293089430895,0.25844978338529634,0.9674419069767443,0.9695852626728112,0.9729729729729731,0.46442102076936825,0.7878787878787881,0.8145162903225804,0.933333666666667,0.12666009927622474,0.8809523809523807,0.8631059245960502,0.8441558441558441,0.21964884255348968,0.16666666666666652,0.16666666666666696,0.6400625978090768,0.08121827411167512,0.4155844155844156,0.125,0.013446884805020171,0.19139553643452545,0.004977375565610863,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1
0.14265335235378035,0.6000000000000001,0.26666666666666666,0.27472527472527475,0.6281159764237221,0.9341084909260274,0.9976649737302978,0.9943084553050395,0.9907353792704112,0.5869565217391304,0.58,0.582010582010582,0.9704215877645318,0.9665664855175747,0.9614427860696516,0.9824242424242424,0.983712757523459,0.9830917874396136,0.8787878787878788,0.8823529411764706,0.8862275449101796,0.9806451612903225,0.9806451612903225,0.9806451612903225,0.9737827715355806,0.9776672601352353,0.9777778395061728,0.9919753086419751,0.9925181819715451,0.9932515950920247,0.3917525773195876,0.6900000000000001,0.545762711864407,0.9806451612903225,0.9806451612903225,0.9806451612903225,0.9287729196050775,0.9171239695337281,0.9061000064359145,0.9793814432989691,0.9723926159419992,0.9689265536723164,1.0,1.0,1.0,1.0,1.0,1.0,0.9720346686579233,0.9726148097457497,0.9720885466794995,0.47000000000000003,0.49,0.48,0.7999999999999999,0.7627585737615675,0.6507936507936507,0.12927955500698518,0.4285714285714288,0.46067438202247146,0.41025666666666716,0.095346172246536,0.6133333333333333,0.6139410161792296,0.5974025974025974,0.13093073414159542,0.3333333333333339,0.37004405286343633,0.3333333333333339,0.06726727939963119,0.8818565400843881,0.8791946234966895,0.8577235772357724,0.03601412030328091,0.8651162790697675,0.8580645161290323,0.8423423423423424,0.08856237416889504,0.4848484848484853,0.45483890322580667,0.43333366666666695,0.03270382404335645,0.6547619047619044,0.5897666337522443,0.5584416883116887,0.16222142113076254,0.0,0.0,0.4919144496609271,0.08629441624365482,0.06493506493506493,0.1875,0.011653966831017482,0.14081742403872008,0.0031674208144796406,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
0.14265335235378035,0.6000000000000001,0.3,0.1998001998001998,0.48328251979876,0.9806201557899163,0.9900758902510216,0.9877899878609804,0.9861030689056168,0.5869565217391304,0.6,0.598343685300207,0.9943359978391443,0.9903581143205847,0.9844527363184079,0.9945454545454545,0.9950956769787398,0.9933574879227053,0.6363636363636364,0.8235294117647058,0.7365269461077845,1.0,1.0,1.0,0.9812734082397003,0.9782890540057327,0.971605,0.9950617283950616,0.9921082403995439,0.990184110429448,0.8041237113402062,0.79,0.7966101694915256,1.0,1.0,1.0,0.9499294781382227,0.9372698806088962,0.9259766329008476,0.9856815578465064,0.9784139745872762,0.9734463276836158,0.75,0.8200000000000001,0.784,0.9925925925925926,0.9925925925925926,0.9925925925925926,0.9054965812200299,0.9058785446232398,0.9056785370548603,0.3,0.31,0.3075,0.8181818181818181,0.936560212907518,0.6825396825396826,0.07867676941446408,0.628571428571429,0.617977668539325,0.5641025641025639,0.032140895914487974,0.4933334666666669,0.47252017742976005,0.4415584415584415,0.0,0.9333333333333336,0.9118942731277535,0.8666666666666671,0.03363363969981555,0.9240506329113923,0.9194630795347059,0.8943089430894309,0.17458494415001855,0.827907023255814,0.8258064884792627,0.8243243693693695,0.13527932854855912,0.3636366666666673,0.3451613548387096,0.33333333333333304,0.28132609962756355,0.5119047619047616,0.47127471274685795,0.5194805194805197,0.3838859479749572,0.7333333333333334,0.8000000000000003,0.767866458007302,0.49238578680203043,0.1168831168831169,0.1875,0.012550425818018827,0.12497983328851842,0.004072398190045248,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1
