iter	Logloss
0	0.6283470291
1	0.580651847522	0.543438780333	0.505495693144	0.47382139
5	0.4538242666
6	0.4322037484
7	0.4133346156
8	0.3987433185
9	0.3903987196
10	0.3808865716
11	0.3728721202
12	0.3650783755113	0.3584395235114	0.3548772727115	0.3491387314
16	0.3458764179
17	0.3415118869
18	0.3372165359
19	0.3333903101
20	0.3292321367
21	0.326697768222	0.3233625025223	0.3209724523224	0.3198718966225	0.3169547693226	0.314413495227	0.3089626636
28	0.3073415383
29	0.3051001517
30	0.3026919207
31	0.30103235
32	0.2993589282
33	33	0.3018170334	34	0.3004255935	35	0.2989382736	36	0.2978314937	0.2902991488
38	0.2887592386
39	0.2865240231
40	0.2851751236
41	0.2843758784
42	0.2820978481
4343	0.2857812654444	0.2837914584545	0.2818442164646	0.2800237654747	0.2794822148	48	0.2786727049	49	0.2764972450	0.2687667565
51	51	0.2733851352	52	0.2725908453	53	0.2715668254	54	0.2693889955	55	0.2676119956	56	0.2661002357	57	0.264812158	058	0.263649159	059	0.26315960	0.60	0.26162161	0.61	0.26030262	0.62	0.25955963	0.63	0.25805564	064	0.257127065	65	0.2556348466	66	0.2548313286
67	0.2535883918
68	0.252728572
69	0.2511261949
70	0.2500155322
71	0.2488203322
72	0.2477781204
73	0.2464612727
74	0.2451286756
75	0.2435670965
76	0.242936016
77	0.2412934524
78	0.2399208641
79	0.2396121067
80	0.2389254706
81	0.23801937
82	0.2366187402
83	0.2354626174
84	0.2343771938
85	0.2336570504
86	0.2331330764
87	0.2320290473
88	0.231097068
89	0.2299332569
90	0.2291030785
91	0.227622314
92	0.2267134729393	0.2253115994	94	0.2238598695	95	0.2227793496	96	0.2209373997	97	0.2204315598	98	0.2192495799	99	0.2185820410100	0.21753844910101	0.21724649510102	0.21678330110103	0.21629750710104	0.21409948910105	0.2129536961106	0.211883542107	0.2035783493
10108	0.2097377741109	0.20810002491110	0.20638064821111	0.205722774
112	0.20451476131113	0.20384297781114	0.20314120111115	0.20105956711116	0.20034317311117	0.1995854231118	0.1991905423119	0.193882881
12120	0.198294573121	0.1926527185
1122	0.19749808071123	0.19737831
1124	0.189855461125	0.1945812572
126	0.1933295232
127	0.1919255611
